"Year","Month","Day","Site.Name","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","Ozone","PM2.5"
"2017","01","29","Bryson City","Swain",35.434767,-83.442133,NA,22
"2017","01","29","Triple Oak","Wake",35.8652,-78.8197,NA,23
"2017","01","30","Blackstone","Lee",35.4325,-79.2887,38,17
"2017","01","30","Bryson City","Swain",35.434767,-83.442133,NA,32
"2017","01","30","Triple Oak","Wake",35.8652,-78.8197,NA,12
"2017","01","31","Blackstone","Lee",35.4325,-79.2887,46,36
"2017","01","31","Bryson City","Swain",35.434767,-83.442133,NA,58
"2017","01","31","Triple Oak","Wake",35.8652,-78.8197,NA,40
"2017","02","01","Blackstone","Lee",35.4325,-79.2887,50,54
"2017","02","01","Bryson City","Swain",35.434767,-83.442133,NA,54
"2017","02","01","Triple Oak","Wake",35.8652,-78.8197,NA,62
"2017","02","02","Blackstone","Lee",35.4325,-79.2887,41,50
"2017","02","02","Bryson City","Swain",35.434767,-83.442133,NA,50
"2017","02","02","Triple Oak","Wake",35.8652,-78.8197,NA,34
"2017","02","03","Blackstone","Lee",35.4325,-79.2887,32,32
"2017","02","03","Bryson City","Swain",35.434767,-83.442133,NA,28
"2017","02","03","Triple Oak","Wake",35.8652,-78.8197,NA,23
"2017","02","04","Blackstone","Lee",35.4325,-79.2887,36,83
"2017","02","04","Bryson City","Swain",35.434767,-83.442133,NA,33
"2017","02","04","Triple Oak","Wake",35.8652,-78.8197,NA,21
"2017","02","05","Blackstone","Lee",35.4325,-79.2887,42,55
"2017","02","05","Bryson City","Swain",35.434767,-83.442133,NA,45
"2017","02","05","Triple Oak","Wake",35.8652,-78.8197,NA,48
"2017","02","06","Blackstone","Lee",35.4325,-79.2887,44,59
"2017","02","06","Bryson City","Swain",35.434767,-83.442133,NA,52
"2017","02","06","Triple Oak","Wake",35.8652,-78.8197,NA,49
"2017","02","07","Blackstone","Lee",35.4325,-79.2887,39,57
"2017","02","07","Bryson City","Swain",35.434767,-83.442133,NA,40
"2017","02","07","Triple Oak","Wake",35.8652,-78.8197,NA,63
"2017","02","08","Blackstone","Lee",35.4325,-79.2887,35,28
"2017","02","08","Bryson City","Swain",35.434767,-83.442133,NA,30
"2017","02","08","Triple Oak","Wake",35.8652,-78.8197,NA,50
"2017","02","09","Blackstone","Lee",35.4325,-79.2887,39,15
"2017","02","09","Bryson City","Swain",35.434767,-83.442133,NA,21
"2017","02","09","Triple Oak","Wake",35.8652,-78.8197,NA,17
"2017","02","10","Blackstone","Lee",35.4325,-79.2887,40,30
"2017","02","10","Bryson City","Swain",35.434767,-83.442133,NA,30
"2017","02","10","Triple Oak","Wake",35.8652,-78.8197,NA,38
"2017","02","11","Blackstone","Lee",35.4325,-79.2887,43,41
"2017","02","11","Bryson City","Swain",35.434767,-83.442133,NA,54
"2017","02","11","Triple Oak","Wake",35.8652,-78.8197,NA,53
"2017","02","12","Blackstone","Lee",35.4325,-79.2887,41,54
"2017","02","12","Bryson City","Swain",35.434767,-83.442133,NA,63
"2017","02","12","Triple Oak","Wake",35.8652,-78.8197,NA,54
"2017","02","13","Blackstone","Lee",35.4325,-79.2887,44,12
"2017","02","13","Bryson City","Swain",35.434767,-83.442133,NA,34
"2017","02","13","Triple Oak","Wake",35.8652,-78.8197,NA,9
"2017","02","14","Blackstone","Lee",35.4325,-79.2887,54,56
"2017","02","14","Bryson City","Swain",35.434767,-83.442133,NA,55
"2017","02","14","Triple Oak","Wake",35.8652,-78.8197,NA,46
"2017","02","15","Blackstone","Lee",35.4325,-79.2887,40,50
"2017","02","15","Bryson City","Swain",35.434767,-83.442133,NA,34
"2017","02","15","Triple Oak","Wake",35.8652,-78.8197,NA,42
"2017","02","16","Blackstone","Lee",35.4325,-79.2887,43,NA
"2017","02","16","Bryson City","Swain",35.434767,-83.442133,NA,25
"2017","02","16","Triple Oak","Wake",35.8652,-78.8197,NA,15
"2017","02","17","Blackstone","Lee",35.4325,-79.2887,44,31
"2017","02","17","Bryson City","Swain",35.434767,-83.442133,NA,47
"2017","02","17","Triple Oak","Wake",35.8652,-78.8197,NA,28
"2017","02","18","Blackstone","Lee",35.4325,-79.2887,47,52
"2017","02","18","Bryson City","Swain",35.434767,-83.442133,NA,54
"2017","02","18","Triple Oak","Wake",35.8652,-78.8197,NA,52
"2017","02","19","Blackstone","Lee",35.4325,-79.2887,44,37
"2017","02","19","Bryson City","Swain",35.434767,-83.442133,NA,47
"2017","02","19","Triple Oak","Wake",35.8652,-78.8197,NA,30
"2017","02","20","Blackstone","Lee",35.4325,-79.2887,48,48
"2017","02","20","Bryson City","Swain",35.434767,-83.442133,NA,40
"2017","02","20","Triple Oak","Wake",35.8652,-78.8197,NA,74
"2017","02","21","Blackstone","Lee",35.4325,-79.2887,44,48
"2017","02","21","Bryson City","Swain",35.434767,-83.442133,NA,51
"2017","02","21","Triple Oak","Wake",35.8652,-78.8197,NA,52
"2017","02","22","Blackstone","Lee",35.4325,-79.2887,44,45
"2017","02","22","Bryson City","Swain",35.434767,-83.442133,NA,46
"2017","02","22","Triple Oak","Wake",35.8652,-78.8197,NA,38
"2017","02","23","Blackstone","Lee",35.4325,-79.2887,44,38
"2017","02","23","Bryson City","Swain",35.434767,-83.442133,NA,38
"2017","02","23","Triple Oak","Wake",35.8652,-78.8197,NA,35
"2017","02","24","Blackstone","Lee",35.4325,-79.2887,41,45
"2017","02","24","Bryson City","Swain",35.434767,-83.442133,NA,35
"2017","02","24","Triple Oak","Wake",35.8652,-78.8197,NA,32
"2017","02","25","Blackstone","Lee",35.4325,-79.2887,43,21
"2017","02","25","Bryson City","Swain",35.434767,-83.442133,NA,23
"2017","02","25","Triple Oak","Wake",35.8652,-78.8197,NA,26
"2017","02","26","Blackstone","Lee",35.4325,-79.2887,42,25
"2017","02","26","Bryson City","Swain",35.434767,-83.442133,NA,20
"2017","02","26","Triple Oak","Wake",35.8652,-78.8197,NA,15
"2017","02","27","Blackstone","Lee",35.4325,-79.2887,45,29
"2017","02","27","Bryson City","Swain",35.434767,-83.442133,NA,41
"2017","02","27","Triple Oak","Wake",35.8652,-78.8197,NA,31
"2017","02","28","Blackstone","Lee",35.4325,-79.2887,43,39
"2017","02","28","Bryson City","Swain",35.434767,-83.442133,NA,43
"2017","02","28","Triple Oak","Wake",35.8652,-78.8197,NA,36
"2017","03","01","Blackstone","Lee",35.4325,-79.2887,NA,45
"2017","03","01","Bryson City","Swain",35.434767,-83.442133,34,33
"2017","03","01","Triple Oak","Wake",35.8652,-78.8197,NA,53
"2017","03","02","Blackstone","Lee",35.4325,-79.2887,42,18
"2017","03","02","Bryson City","Swain",35.434767,-83.442133,40,18
"2017","03","02","Triple Oak","Wake",35.8652,-78.8197,NA,15
"2017","03","03","Blackstone","Lee",35.4325,-79.2887,43,29
"2017","03","03","Bryson City","Swain",35.434767,-83.442133,41,27
"2017","03","03","Triple Oak","Wake",35.8652,-78.8197,NA,18
"2017","03","04","Blackstone","Lee",35.4325,-79.2887,41,31
"2017","03","04","Bryson City","Swain",35.434767,-83.442133,43,41
"2017","03","04","Triple Oak","Wake",35.8652,-78.8197,NA,23
"2017","03","05","Blackstone","Lee",35.4325,-79.2887,42,51
"2017","03","05","Bryson City","Swain",35.434767,-83.442133,50,48
"2017","03","05","Triple Oak","Wake",35.8652,-78.8197,NA,29
"2017","03","06","Blackstone","Lee",35.4325,-79.2887,44,52
"2017","03","06","Bryson City","Swain",35.434767,-83.442133,41,56
"2017","03","06","Triple Oak","Wake",35.8652,-78.8197,NA,47
"2017","03","07","Blackstone","Lee",35.4325,-79.2887,48,35
"2017","03","07","Bryson City","Swain",35.434767,-83.442133,33,42
"2017","03","07","Triple Oak","Wake",35.8652,-78.8197,NA,43
"2017","03","08","Blackstone","Lee",35.4325,-79.2887,47,18
"2017","03","08","Bryson City","Swain",35.434767,-83.442133,44,19
"2017","03","08","Triple Oak","Wake",35.8652,-78.8197,NA,20
"2017","03","09","Blackstone","Lee",35.4325,-79.2887,50,23
"2017","03","09","Bryson City","Swain",35.434767,-83.442133,49,33
"2017","03","09","Triple Oak","Wake",35.8652,-78.8197,NA,28
"2017","03","10","Blackstone","Lee",35.4325,-79.2887,44,41
"2017","03","10","Bryson City","Swain",35.434767,-83.442133,44,36
"2017","03","10","Triple Oak","Wake",35.8652,-78.8197,NA,40
"2017","03","11","Blackstone","Lee",35.4325,-79.2887,42,32
"2017","03","11","Bryson City","Swain",35.434767,-83.442133,39,21
"2017","03","11","Triple Oak","Wake",35.8652,-78.8197,NA,15
"2017","03","12","Blackstone","Lee",35.4325,-79.2887,40,31
"2017","03","12","Bryson City","Swain",35.434767,-83.442133,37,19
"2017","03","12","Triple Oak","Wake",35.8652,-78.8197,NA,20
"2017","03","13","Blackstone","Lee",35.4325,-79.2887,34,50
"2017","03","13","Bryson City","Swain",35.434767,-83.442133,42,27
"2017","03","13","Triple Oak","Wake",35.8652,-78.8197,NA,37
"2017","03","14","Blackstone","Lee",35.4325,-79.2887,37,19
"2017","03","14","Bryson City","Swain",35.434767,-83.442133,39,23
"2017","03","14","Triple Oak","Wake",35.8652,-78.8197,NA,11
"2017","03","15","Blackstone","Lee",35.4325,-79.2887,43,33
"2017","03","15","Bryson City","Swain",35.434767,-83.442133,41,24
"2017","03","15","Triple Oak","Wake",35.8652,-78.8197,NA,15
"2017","03","16","Blackstone","Lee",35.4325,-79.2887,45,54
"2017","03","16","Bryson City","Swain",35.434767,-83.442133,46,33
"2017","03","16","Triple Oak","Wake",35.8652,-78.8197,NA,29
"2017","03","17","Blackstone","Lee",35.4325,-79.2887,51,44
"2017","03","17","Bryson City","Swain",35.434767,-83.442133,32,53
"2017","03","17","Triple Oak","Wake",35.8652,-78.8197,NA,54
"2017","03","18","Blackstone","Lee",35.4325,-79.2887,42,66
"2017","03","18","Bryson City","Swain",35.434767,-83.442133,47,39
"2017","03","18","Triple Oak","Wake",35.8652,-78.8197,NA,67
"2017","03","19","Blackstone","Lee",35.4325,-79.2887,36,11
"2017","03","19","Bryson City","Swain",35.434767,-83.442133,36,20
"2017","03","19","Triple Oak","Wake",35.8652,-78.8197,NA,13
"2017","03","20","Blackstone","Lee",35.4325,-79.2887,44,42
"2017","03","20","Bryson City","Swain",35.434767,-83.442133,34,40
"2017","03","20","Triple Oak","Wake",35.8652,-78.8197,NA,38
"2017","03","21","Blackstone","Lee",35.4325,-79.2887,54,55
"2017","03","21","Bryson City","Swain",35.434767,-83.442133,NA,51
"2017","03","21","Triple Oak","Wake",35.8652,-78.8197,NA,61
"2017","03","22","Blackstone","Lee",35.4325,-79.2887,47,25
"2017","03","22","Bryson City","Swain",35.434767,-83.442133,49,36
"2017","03","22","Triple Oak","Wake",35.8652,-78.8197,NA,19
"2017","03","23","Blackstone","Lee",35.4325,-79.2887,46,33
"2017","03","23","Bryson City","Swain",35.434767,-83.442133,48,34
"2017","03","23","Triple Oak","Wake",35.8652,-78.8197,NA,20
"2017","03","24","Blackstone","Lee",35.4325,-79.2887,47,55
"2017","03","24","Bryson City","Swain",35.434767,-83.442133,44,49
"2017","03","24","Triple Oak","Wake",35.8652,-78.8197,NA,49
"2017","03","25","Blackstone","Lee",35.4325,-79.2887,44,42
"2017","03","25","Bryson City","Swain",35.434767,-83.442133,43,51
"2017","03","25","Triple Oak","Wake",35.8652,-78.8197,NA,38
"2017","03","26","Blackstone","Lee",35.4325,-79.2887,43,28
"2017","03","26","Bryson City","Swain",35.434767,-83.442133,43,29
"2017","03","26","Triple Oak","Wake",35.8652,-78.8197,NA,20
"2017","03","27","Blackstone","Lee",35.4325,-79.2887,42,27
"2017","03","27","Bryson City","Swain",35.434767,-83.442133,34,40
"2017","03","27","Triple Oak","Wake",35.8652,-78.8197,NA,32
"2017","03","28","Blackstone","Lee",35.4325,-79.2887,46,18
"2017","03","28","Bryson City","Swain",35.434767,-83.442133,47,25
"2017","03","28","Triple Oak","Wake",35.8652,-78.8197,NA,29
"2017","03","29","Blackstone","Lee",35.4325,-79.2887,47,30
"2017","03","29","Bryson City","Swain",35.434767,-83.442133,47,26
"2017","03","29","Triple Oak","Wake",35.8652,-78.8197,NA,28
"2017","03","30","Blackstone","Lee",35.4325,-79.2887,43,36
"2017","03","30","Bryson City","Swain",35.434767,-83.442133,44,41
"2017","03","30","Triple Oak","Wake",35.8652,-78.8197,NA,33
"2017","03","31","Blackstone","Lee",35.4325,-79.2887,44,14
"2017","03","31","Bryson City","Swain",35.434767,-83.442133,38,19
"2017","03","31","Triple Oak","Wake",35.8652,-78.8197,NA,21
"2017","04","01","Blackstone","Lee",35.4325,-79.2887,44,8
"2017","04","01","Bryson City","Swain",35.434767,-83.442133,42,21
"2017","04","01","Triple Oak","Wake",35.8652,-78.8197,NA,10
"2017","04","02","Blackstone","Lee",35.4325,-79.2887,41,15
"2017","04","02","Bryson City","Swain",35.434767,-83.442133,44,24
"2017","04","02","Triple Oak","Wake",35.8652,-78.8197,NA,16
"2017","04","03","Blackstone","Lee",35.4325,-79.2887,42,29
"2017","04","03","Bryson City","Swain",35.434767,-83.442133,36,27
"2017","04","03","Triple Oak","Wake",35.8652,-78.8197,NA,26
"2017","04","04","Blackstone","Lee",35.4325,-79.2887,45,16
"2017","04","04","Bryson City","Swain",35.434767,-83.442133,47,29
"2017","04","04","Triple Oak","Wake",35.8652,-78.8197,NA,28
"2017","04","05","Blackstone","Lee",35.4325,-79.2887,32,40
"2017","04","05","Bryson City","Swain",35.434767,-83.442133,34,33
"2017","04","05","Triple Oak","Wake",35.8652,-78.8197,NA,47
"2017","04","06","Blackstone","Lee",35.4325,-79.2887,38,10
"2017","04","06","Bryson City","Swain",35.434767,-83.442133,39,17
"2017","04","06","Triple Oak","Wake",35.8652,-78.8197,NA,13
"2017","04","07","Blackstone","Lee",35.4325,-79.2887,43,11
"2017","04","07","Bryson City","Swain",35.434767,-83.442133,45,18
"2017","04","07","Triple Oak","Wake",35.8652,-78.8197,NA,9
"2017","04","08","Blackstone","Lee",35.4325,-79.2887,51,18
"2017","04","08","Bryson City","Swain",35.434767,-83.442133,51,28
"2017","04","08","Triple Oak","Wake",35.8652,-78.8197,NA,16
"2017","04","09","Blackstone","Lee",35.4325,-79.2887,64,33
"2017","04","09","Bryson City","Swain",35.434767,-83.442133,58,32
"2017","04","09","Triple Oak","Wake",35.8652,-78.8197,NA,35
"2017","04","10","Blackstone","Lee",35.4325,-79.2887,58,30
"2017","04","10","Bryson City","Swain",35.434767,-83.442133,71,41
"2017","04","10","Triple Oak","Wake",35.8652,-78.8197,NA,48
"2017","04","11","Blackstone","Lee",35.4325,-79.2887,47,31
"2017","04","11","Bryson City","Swain",35.434767,-83.442133,61,53
"2017","04","11","Triple Oak","Wake",35.8652,-78.8197,NA,52
"2017","04","12","Blackstone","Lee",35.4325,-79.2887,46,26
"2017","04","12","Bryson City","Swain",35.434767,-83.442133,54,38
"2017","04","12","Triple Oak","Wake",35.8652,-78.8197,NA,38
"2017","04","13","Blackstone","Lee",35.4325,-79.2887,51,NA
"2017","04","13","Bryson City","Swain",35.434767,-83.442133,61,37
"2017","04","13","Triple Oak","Wake",35.8652,-78.8197,NA,44
"2017","04","14","Blackstone","Lee",35.4325,-79.2887,45,NA
"2017","04","14","Bryson City","Swain",35.434767,-83.442133,71,55
"2017","04","14","Triple Oak","Wake",35.8652,-78.8197,NA,38
"2017","04","15","Blackstone","Lee",35.4325,-79.2887,48,NA
"2017","04","15","Bryson City","Swain",35.434767,-83.442133,51,44
"2017","04","15","Triple Oak","Wake",35.8652,-78.8197,NA,43
"2017","04","16","Blackstone","Lee",35.4325,-79.2887,48,NA
"2017","04","16","Bryson City","Swain",35.434767,-83.442133,44,43
"2017","04","16","Triple Oak","Wake",35.8652,-78.8197,NA,58
"2017","04","17","Blackstone","Lee",35.4325,-79.2887,46,NA
"2017","04","17","Bryson City","Swain",35.434767,-83.442133,34,41
"2017","04","17","Triple Oak","Wake",35.8652,-78.8197,NA,43
"2017","04","18","Blackstone","Lee",35.4325,-79.2887,43,NA
"2017","04","18","Bryson City","Swain",35.434767,-83.442133,32,25
"2017","04","18","Triple Oak","Wake",35.8652,-78.8197,NA,29
"2017","04","19","Blackstone","Lee",35.4325,-79.2887,31,34
"2017","04","19","Bryson City","Swain",35.434767,-83.442133,35,41
"2017","04","19","Triple Oak","Wake",35.8652,-78.8197,NA,33
"2017","04","20","Blackstone","Lee",35.4325,-79.2887,41,40
"2017","04","20","Bryson City","Swain",35.434767,-83.442133,37,45
"2017","04","20","Triple Oak","Wake",35.8652,-78.8197,NA,51
"2017","04","21","Blackstone","Lee",35.4325,-79.2887,45,42
"2017","04","21","Bryson City","Swain",35.434767,-83.442133,34,45
"2017","04","21","Triple Oak","Wake",35.8652,-78.8197,NA,55
"2017","04","22","Blackstone","Lee",35.4325,-79.2887,42,39
"2017","04","22","Bryson City","Swain",35.434767,-83.442133,42,27
"2017","04","22","Triple Oak","Wake",35.8652,-78.8197,NA,36
"2017","04","23","Blackstone","Lee",35.4325,-79.2887,23,20
"2017","04","23","Bryson City","Swain",35.434767,-83.442133,28,7
"2017","04","23","Triple Oak","Wake",35.8652,-78.8197,NA,9
